code,name,utf8
U+269C,fleur-de-lis,0xE2 0x9A 0x9C,
U+267B,recycling symbol,0xE2 0x99 0xBB,
U+2695,medical symbol,0xE2 0x9A 0x95,
U+1F4B2,heavy dollar sign,0xF0 0x9F 0x92 0xB2,
U+1F4B1,currency exchange,0xF0 0x9F 0x92 0xB1,
U+3030,wavy dash,0xE3 0x80 0xB0,
U+2757,red exclamation mark,0xE2 0x9D 0x97,
U+2755,white exclamation mark,0xE2 0x9D 0x95,
U+2754,white question mark,0xE2 0x9D 0x94,
U+2753,red question mark,0xE2 0x9D 0x93,
U+2049,exclamation question mark,0xE2 0x81 0x89,
U+203C,double exclamation mark,0xE2 0x80 0xBC,
U+267E,infinity,0xE2 0x99 0xBE,
U+2797,divide,0xE2 0x9E 0x97,
U+2796,minus,0xE2 0x9E 0x96,
U+2795,plus,0xE2 0x9E 0x95,
U+2716,multiply,0xE2 0x9C 0x96,
U+26A7,transgender symbol,0xE2 0x9A 0xA7,
U+2642,male sign,0xE2 0x99 0x82,
U+2640,female sign,0xE2 0x99 0x80,
U+1F4F4,mobile phone off,0xF0 0x9F 0x93 0xB4,
U+1F4F3,vibration mode,0xF0 0x9F 0x93 0xB3,
U+1F4F6,antenna bars,0xF0 0x9F 0x93 0xB6,
U+1F506,bright button,0xF0 0x9F 0x94 0x86,
U+1F505,dim button,0xF0 0x9F 0x94 0x85,
U+1F3A6,cinema,0xF0 0x9F 0x8E 0xA6,
U+23CF,eject button,0xE2 0x8F 0x8F,
U+23FA,record button,0xE2 0x8F 0xBA,
U+23F9,stop button,0xE2 0x8F 0xB9,
U+23F8,pause button,0xE2 0x8F 0xB8,
U+23EC,fast down button,0xE2 0x8F 0xAC,
U+1F53D,downwards button,0xF0 0x9F 0x94 0xBD,
U+23EB,fast up button,0xE2 0x8F 0xAB,
U+1F53C,upwards button,0xF0 0x9F 0x94 0xBC,
U+23EE,last track button,0xE2 0x8F 0xAE,
U+23EA,fast reverse button,0xE2 0x8F 0xAA,
U+25C0,reverse button,0xE2 0x97 0x80,
U+23EF,play or pause button,0xE2 0x8F 0xAF,
U+23ED,next track button,0xE2 0x8F 0xAD,
U+23E9,fast-forward button,0xE2 0x8F 0xA9,
U+25B6,play button,0xE2 0x96 0xB6,
U+1F502,repeat single button,0xF0 0x9F 0x94 0x82,
U+1F501,repeat button,0xF0 0x9F 0x94 0x81,
U+1F500,shuffle tracks button,0xF0 0x9F 0x94 0x80,
U+26CE,Ophiuchus,0xE2 0x9B 0x8E,
U+2653,Pisces,0xE2 0x99 0x93,
U+2652,Aquarius,0xE2 0x99 0x92,
U+2651,Capricorn,0xE2 0x99 0x91,
U+2650,Sagittarius,0xE2 0x99 0x90,
U+264F,Scorpio,0xE2 0x99 0x8F,
U+264E,Libra,0xE2 0x99 0x8E,
U+264D,Virgo,0xE2 0x99 0x8D,
U+264C,Leo,0xE2 0x99 0x8C,
U+264B,Cancer,0xE2 0x99 0x8B,
U+264A,Gemini,0xE2 0x99 0x8A,
U+2649,Taurus,0xE2 0x99 0x89,
U+2648,Aries,0xE2 0x99 0x88,
U+1F52F,dotted six-pointed star,0xF0 0x9F 0x94 0xAF,
U+1F54E,menorah,0xF0 0x9F 0x95 0x8E,
U+262E,peace symbol,0xE2 0x98 0xAE,
U+262A,star and crescent,0xE2 0x98 0xAA,
U+2626,orthodox cross,0xE2 0x98 0xA6,
U+271D,latin cross,0xE2 0x9C 0x9D,
U+262F,yin yang,0xE2 0x98 0xAF,
U+2638,wheel of dharma,0xE2 0x98 0xB8,
U+2721,star of David,0xE2 0x9C 0xA1,
U+1F549,om,0xF0 0x9F 0x95 0x89,
U+269B,atom symbol,0xE2 0x9A 0x9B,
U+1F6D0,place of worship,0xF0 0x9F 0x9B 0x90,
U+1F51D,TOP arrow,0xF0 0x9F 0x94 0x9D,
U+1F51C,SOON arrow,0xF0 0x9F 0x94 0x9C,
U+1F51B,ON! arrow,0xF0 0x9F 0x94 0x9B,
U+1F51A,END arrow,0xF0 0x9F 0x94 0x9A,
U+1F519,BACK arrow,0xF0 0x9F 0x94 0x99,
U+1F504,counterclockwise arrows button,0xF0 0x9F 0x94 0x84,
U+1F503,clockwise vertical arrows,0xF0 0x9F 0x94 0x83,
U+2935,right arrow curving down,0xE2 0xA4 0xB5,
U+2934,right arrow curving up,0xE2 0xA4 0xB4,
U+21AA,left arrow curving right,0xE2 0x86 0xAA,
U+21A9,right arrow curving left,0xE2 0x86 0xA9,
U+2194,left-right arrow,0xE2 0x86 0x94,
U+2195,up-down arrow,0xE2 0x86 0x95,
U+2196,up-left arrow,0xE2 0x86 0x96,
U+2B05,left arrow,0xE2 0xAC 0x85,
U+2199,down-left arrow,0xE2 0x86 0x99,
U+2B07,down arrow,0xE2 0xAC 0x87,
U+2198,down-right arrow,0xE2 0x86 0x98,
U+27A1,right arrow,0xE2 0x9E 0xA1,
U+2197,up-right arrow,0xE2 0x86 0x97,
U+2B06,up arrow,0xE2 0xAC 0x86,
U+2623,biohazard,0xE2 0x98 0xA3,
U+2622,radioactive,0xE2 0x98 0xA2,
U+1F51E,no one under eighteen,0xF0 0x9F 0x94 0x9E,
U+1F4F5,no mobile phones,0xF0 0x9F 0x93 0xB5,
U+1F6B7,no pedestrians,0xF0 0x9F 0x9A 0xB7,
U+1F6B1,non-potable water,0xF0 0x9F 0x9A 0xB1,
U+1F6AF,no littering,0xF0 0x9F 0x9A 0xAF,
U+1F6AD,no smoking,0xF0 0x9F 0x9A 0xAD,
U+1F6B3,no bicycles,0xF0 0x9F 0x9A 0xB3,
U+1F6AB,prohibited,0xF0 0x9F 0x9A 0xAB,
U+26D4,no entry,0xE2 0x9B 0x94,
U+1F6B8,children crossing,0xF0 0x9F 0x9A 0xB8,
U+26A0,warning,0xE2 0x9A 0xA0,
U+1F6C5,left luggage,0xF0 0x9F 0x9B 0x85,
U+1F6C4,baggage claim,0xF0 0x9F 0x9B 0x84,
U+1F6C3,customs,0xF0 0x9F 0x9B 0x83,
U+1F6C2,passport control,0xF0 0x9F 0x9B 0x82,
U+1F6BE,water closet,0xF0 0x9F 0x9A 0xBE,
U+1F6BC,baby symbol,0xF0 0x9F 0x9A 0xBC,
U+1F6BB,restroom,0xF0 0x9F 0x9A 0xBB,
U+1F6BA,women’s room,0xF0 0x9F 0x9A 0xBA,
U+1F6B9,men’s room,0xF0 0x9F 0x9A 0xB9,
U+267F,wheelchair symbol,0xE2 0x99 0xBF,
U+1F6B0,potable water,0xF0 0x9F 0x9A 0xB0,
U+1F6AE,litter in bin sign,0xF0 0x9F 0x9A 0xAE,
U+1F3E7,ATM sign,0xF0 0x9F 0x8F 0xA7,
U+1FAA7,placard,0xF0 0x9F 0xAA 0xA7,
U+1F5FF,moai,0xF0 0x9F 0x97 0xBF,
U+26B1,funeral urn,0xE2 0x9A 0xB1,
U+1FAA6,headstone,0xF0 0x9F 0xAA 0xA6,
U+26B0,coffin,0xE2 0x9A 0xB0,
U+1F6AC,cigarette,0xF0 0x9F 0x9A 0xAC,
U+1F6D2,shopping cart,0xF0 0x9F 0x9B 0x92,
U+1F9EF,fire extinguisher,0xF0 0x9F 0xA7 0xAF,
U+1F9FD,sponge,0xF0 0x9F 0xA7 0xBD,
U+1FAA5,toothbrush,0xF0 0x9F 0xAA 0xA5,
U+1F9FC,soap,0xF0 0x9F 0xA7 0xBC,
U+1FAA3,bucket,0xF0 0x9F 0xAA 0xA3,
U+1F9FB,roll of paper,0xF0 0x9F 0xA7 0xBB,
U+1F9FA,basket,0xF0 0x9F 0xA7 0xBA,
U+1F9F9,broom,0xF0 0x9F 0xA7 0xB9,
U+1F9F7,safety pin,0xF0 0x9F 0xA7 0xB7,
U+1F9F4,lotion bottle,0xF0 0x9F 0xA7 0xB4,
